label,setting,run_number,cold_real,cold_user,cold_sys,hot_real,hot_user,hot_sys
calibration,N/A,1,7.85,7.33,0.39,4.36,4.17,0.16
calibration,N/A,2,7.76,7.34,0.38,4.35,4.17,0.16
calibration,N/A,3,7.75,7.31,0.40,4.36,4.17,0.15
calibration,N/A,4,7.82,7.33,0.39,4.36,4.18,0.15
calibration,N/A,5,7.77,7.36,0.37,4.37,4.18,0.16
calibration,N/A,6,7.75,7.29,0.42,4.35,4.17,0.15
calibration,N/A,7,7.80,7.35,0.37,4.36,4.20,0.13
calibration,N/A,8,7.74,7.30,0.40,4.36,4.17,0.16
calibration,N/A,9,7.76,7.34,0.38,4.44,4.17,0.16
calibration,N/A,10,7.71,7.30,0.37,4.34,4.18,0.14
calibration,N/A,11,7.73,7.31,0.38,4.34,4.16,0.15
calibration,N/A,12,7.73,7.31,0.37,4.38,4.16,0.16
calibration,N/A,13,7.73,7.33,0.36,4.34,4.17,0.14
calibration,N/A,14,7.74,7.32,0.38,4.46,4.17,0.15
calibration,N/A,15,7.76,7.34,0.38,4.36,4.19,0.14
image_pipeline_comptime,LOW_false_false_false,1,7.71,7.30,0.37,4.32,4.14,0.15
image_pipeline_comptime,LOW_false_false_false,2,7.72,7.29,0.39,4.33,4.15,0.14
image_pipeline_comptime,LOW_false_false_false,3,7.74,7.31,0.39,4.34,4.16,0.16
image_pipeline_comptime,LOW_false_false_false,4,7.79,7.28,0.38,4.33,4.14,0.16
image_pipeline_comptime,LOW_false_false_false,5,7.71,7.28,0.39,4.33,4.15,0.15
image_pipeline_comptime,LOW_false_false_false,6,7.72,7.33,0.35,4.33,4.16,0.14
image_pipeline_comptime,LOW_false_false_false,7,7.80,7.30,0.38,4.33,4.14,0.16
image_pipeline_comptime,LOW_false_false_false,8,7.71,7.29,0.37,4.32,4.14,0.15
image_pipeline_comptime,LOW_false_false_false,9,7.74,7.33,0.36,4.43,4.18,0.13
image_pipeline_comptime,LOW_false_false_false,10,7.73,7.28,0.40,4.33,4.15,0.15
image_pipeline_comptime,LOW_false_false_false,11,7.72,7.29,0.39,4.32,4.15,0.15
image_pipeline_comptime,LOW_false_false_false,12,7.84,7.30,0.41,4.33,4.16,0.14
image_pipeline_comptime,LOW_false_false_false,13,7.73,7.30,0.39,4.33,4.16,0.15
image_pipeline_comptime,LOW_false_false_false,14,7.77,7.33,0.40,4.32,4.17,0.13
image_pipeline_comptime,LOW_false_false_false,15,7.74,7.28,0.42,4.32,4.13,0.16
image_pipeline_comptime,MED_true_false_true,1,7.76,7.32,0.40,4.47,4.18,0.16
image_pipeline_comptime,MED_true_false_true,2,7.74,7.28,0.42,4.31,4.14,0.14
image_pipeline_comptime,MED_true_false_true,3,7.64,7.19,0.41,4.26,4.09,0.14
image_pipeline_comptime,MED_true_false_true,4,7.66,7.19,0.39,4.27,4.08,0.16
image_pipeline_comptime,MED_true_false_true,5,7.62,7.18,0.40,4.27,4.08,0.16
image_pipeline_comptime,MED_true_false_true,6,7.61,7.17,0.40,4.26,4.09,0.14
image_pipeline_comptime,MED_true_false_true,7,7.66,7.15,0.43,4.26,4.10,0.14
image_pipeline_comptime,MED_true_false_true,8,7.61,7.16,0.41,4.26,4.07,0.16
image_pipeline_comptime,MED_true_false_true,9,7.67,7.17,0.41,4.27,4.09,0.15
image_pipeline_comptime,MED_true_false_true,10,7.62,7.16,0.41,4.26,4.07,0.16
image_pipeline_comptime,MED_true_false_true,11,7.61,7.16,0.41,4.26,4.08,0.15
image_pipeline_comptime,MED_true_false_true,12,7.67,7.15,0.41,4.26,4.05,0.18
image_pipeline_comptime,MED_true_false_true,13,7.61,7.16,0.41,4.26,4.08,0.15
image_pipeline_comptime,MED_true_false_true,14,7.60,7.16,0.40,4.37,4.07,0.16
image_pipeline_comptime,MED_true_false_true,15,7.61,7.17,0.40,4.26,4.05,0.18
image_pipeline_comptime,HIGH_true_true_true,1,7.69,7.19,0.41,4.27,4.08,0.17
image_pipeline_comptime,HIGH_true_true_true,2,7.63,7.18,0.41,4.28,4.09,0.16
image_pipeline_comptime,HIGH_true_true_true,3,7.62,7.19,0.40,4.28,4.10,0.15
image_pipeline_comptime,HIGH_true_true_true,4,7.63,7.21,0.39,4.29,4.11,0.15
image_pipeline_comptime,HIGH_true_true_true,5,7.85,7.39,0.42,4.28,4.10,0.15
image_pipeline_comptime,HIGH_true_true_true,6,7.62,7.16,0.42,4.28,4.08,0.17
image_pipeline_comptime,HIGH_true_true_true,7,7.62,7.17,0.41,4.28,4.09,0.16
image_pipeline_comptime,HIGH_true_true_true,8,7.62,7.16,0.42,4.28,4.12,0.14
image_pipeline_comptime,HIGH_true_true_true,9,7.71,7.21,0.38,4.27,4.08,0.17
image_pipeline_comptime,HIGH_true_true_true,10,7.65,7.17,0.44,4.27,4.09,0.16
image_pipeline_comptime,HIGH_true_true_true,11,7.65,7.16,0.42,4.27,4.08,0.16
image_pipeline_comptime,HIGH_true_true_true,12,7.61,7.15,0.42,4.27,4.07,0.17
image_pipeline_comptime,HIGH_true_true_true,13,7.62,7.18,0.41,4.27,4.10,0.14
image_pipeline_comptime,HIGH_true_true_true,14,7.67,7.15,0.42,4.27,4.09,0.15
image_pipeline_comptime,HIGH_true_true_true,15,7.62,7.17,0.41,4.27,4.09,0.15
image_pipeline_runtime,LOW_false_false_false,1,7.81,7.26,0.39,4.34,4.15,0.16
image_pipeline_runtime,LOW_false_false_false,2,7.69,7.22,0.42,4.34,4.16,0.16
image_pipeline_runtime,LOW_false_false_false,3,7.69,7.24,0.41,4.36,4.16,0.16
image_pipeline_runtime,LOW_false_false_false,4,7.69,7.25,0.40,4.34,4.15,0.16
image_pipeline_runtime,LOW_false_false_false,5,7.68,7.20,0.45,4.42,4.17,0.15
image_pipeline_runtime,LOW_false_false_false,6,7.68,7.23,0.41,4.34,4.17,0.15
image_pipeline_runtime,LOW_false_false_false,7,7.68,7.20,0.44,4.35,4.14,0.17
image_pipeline_runtime,LOW_false_false_false,8,7.69,7.27,0.37,4.34,4.15,0.16
image_pipeline_runtime,LOW_false_false_false,9,7.69,7.25,0.40,4.34,4.14,0.17
image_pipeline_runtime,LOW_false_false_false,10,7.68,7.24,0.39,4.37,4.15,0.17
image_pipeline_runtime,LOW_false_false_false,11,7.68,7.22,0.42,4.34,4.17,0.14
image_pipeline_runtime,LOW_false_false_false,12,7.68,7.24,0.40,4.34,4.14,0.17
image_pipeline_runtime,LOW_false_false_false,13,7.76,7.21,0.44,4.34,4.15,0.16
image_pipeline_runtime,LOW_false_false_false,14,7.68,7.24,0.40,4.34,4.16,0.15
image_pipeline_runtime,LOW_false_false_false,15,7.70,7.26,0.40,4.34,4.14,0.18
image_pipeline_runtime,MED_true_false_true,1,7.74,7.27,0.43,4.38,4.21,0.14
image_pipeline_runtime,MED_true_false_true,2,7.74,7.30,0.40,4.38,4.20,0.15
image_pipeline_runtime,MED_true_false_true,3,7.76,7.29,0.40,4.38,4.19,0.16
image_pipeline_runtime,MED_true_false_true,4,7.73,7.27,0.42,4.38,4.20,0.14
image_pipeline_runtime,MED_true_false_true,5,7.73,7.27,0.42,4.40,4.17,0.18
image_pipeline_runtime,MED_true_false_true,6,7.73,7.26,0.42,4.37,4.20,0.15
image_pipeline_runtime,MED_true_false_true,7,7.73,7.29,0.41,4.38,4.17,0.18
image_pipeline_runtime,MED_true_false_true,8,7.77,7.26,0.43,4.37,4.18,0.16
image_pipeline_runtime,MED_true_false_true,9,7.72,7.27,0.41,4.38,4.19,0.16
image_pipeline_runtime,MED_true_false_true,10,7.77,7.30,0.38,4.37,4.19,0.16
image_pipeline_runtime,MED_true_false_true,11,7.72,7.24,0.43,4.38,4.20,0.15
image_pipeline_runtime,MED_true_false_true,12,7.74,7.26,0.42,4.37,4.19,0.16
image_pipeline_runtime,MED_true_false_true,13,7.71,7.27,0.40,4.37,4.20,0.15
image_pipeline_runtime,MED_true_false_true,14,7.72,7.30,0.38,4.37,4.20,0.15
image_pipeline_runtime,MED_true_false_true,15,7.78,7.27,0.41,4.37,4.17,0.17
image_pipeline_runtime,HIGH_true_true_true,1,7.72,7.25,0.42,4.40,4.17,0.16
image_pipeline_runtime,HIGH_true_true_true,2,7.70,7.24,0.42,4.35,4.17,0.16
image_pipeline_runtime,HIGH_true_true_true,3,7.70,7.23,0.43,4.35,4.16,0.16
image_pipeline_runtime,HIGH_true_true_true,4,7.72,7.22,0.43,4.36,4.16,0.17
image_pipeline_runtime,HIGH_true_true_true,5,7.70,7.26,0.40,4.35,4.17,0.15
image_pipeline_runtime,HIGH_true_true_true,6,7.70,7.22,0.44,4.43,4.15,0.18
image_pipeline_runtime,HIGH_true_true_true,7,7.71,7.23,0.44,4.35,4.16,0.17
image_pipeline_runtime,HIGH_true_true_true,8,7.70,7.23,0.43,4.36,4.17,0.16
image_pipeline_runtime,HIGH_true_true_true,9,7.71,7.25,0.41,4.47,4.16,0.16
image_pipeline_runtime,HIGH_true_true_true,10,7.70,7.28,0.38,4.35,4.16,0.16
image_pipeline_runtime,HIGH_true_true_true,11,7.70,7.28,0.38,4.38,4.17,0.16
image_pipeline_runtime,HIGH_true_true_true,12,7.69,7.22,0.43,4.36,4.16,0.17
image_pipeline_runtime,HIGH_true_true_true,13,7.70,7.22,0.43,4.35,4.18,0.14
image_pipeline_runtime,HIGH_true_true_true,14,7.69,7.24,0.42,4.41,4.16,0.17
image_pipeline_runtime,HIGH_true_true_true,15,7.70,7.24,0.42,4.35,4.16,0.16
lut_comptime,INC_5,1,7.52,7.02,0.41,4.12,3.93,0.17
