label,setting,run_number,runtime_ns,cycles,instructions,cache-misses,cache-references,branches,branch-misses
calibration,N/A,1,64269,210356,533015,139,1583,130804,1480
calibration,N/A,2,60029,193800,529240,216,1141,130156,1433
calibration,N/A,3,60639,197004,529232,271,1057,130154,1451
calibration,N/A,4,60635,197727,529232,238,1071,130154,1446
calibration,N/A,5,59241,191391,529232,134,1121,130154,1442
calibration,N/A,6,64364,206596,529232,151,836,130154,1451
calibration,N/A,7,59292,192481,529232,155,1047,130154,1442
calibration,N/A,8,64275,212663,533015,226,1559,130804,1482
calibration,N/A,9,64329,213400,533015,315,1527,130804,1489
calibration,N/A,10,59361,193548,529191,212,1186,130147,1442
lut_comptime,INC_1,1,7206,42373,44029,113,615,9013,159
lut_comptime,INC_1,2,7212,40261,43008,77,349,8914,118
lut_comptime,INC_1,3,7199,41053,43008,112,379,8914,120
lut_comptime,INC_1,4,7197,45009,45811,165,401,9392,157
lut_comptime,INC_1,5,7192,39394,42975,49,362,8909,120
lut_comptime,INC_1,6,7208,39414,43148,48,399,8950,120
lut_comptime,INC_1,7,7183,47575,48700,59,460,10063,219
lut_comptime,INC_1,8,7204,39623,42975,55,361,8909,121
lut_comptime,INC_1,9,7193,39904,43008,79,362,8914,101
lut_comptime,INC_1,10,7181,39917,43008,79,296,8914,101
lut_comptime,INC_0.5,1,7184,42453,38404,89,572,4638,158
lut_comptime,INC_0.5,2,7211,41360,37383,69,368,4539,120
lut_comptime,INC_0.5,3,7194,40092,37383,60,372,4539,123
lut_comptime,INC_0.5,4,7193,40306,37391,106,404,4541,115
lut_comptime,INC_0.5,5,7187,41116,37599,131,375,4556,131
lut_comptime,INC_0.5,6,7226,40094,37383,60,351,4539,134
lut_comptime,INC_0.5,7,7192,40140,37381,51,342,4538,126
lut_comptime,INC_0.5,8,7184,39796,37383,66,365,4539,113
lut_comptime,INC_0.5,9,7187,41994,37350,62,373,4534,112
lut_comptime,INC_0.5,10,7208,40924,37342,40,338,4532,118
lut_comptime,INC_0.05,1,7191,42541,38447,74,548,4644,158
lut_comptime,INC_0.05,2,7207,39681,37426,56,403,4545,120
lut_comptime,INC_0.05,3,7333,41637,37647,85,371,4598,143
lut_comptime,INC_0.05,4,7203,39790,37385,47,367,4538,125
lut_comptime,INC_0.05,5,7185,40775,37514,55,426,4558,125
lut_comptime,INC_0.05,6,7208,40366,37385,60,327,4538,105
lut_comptime,INC_0.05,7,7204,39888,37434,50,397,4547,112
lut_comptime,INC_0.05,8,7205,49840,37525,64,391,4574,119
lut_comptime,INC_0.05,9,7200,40259,37393,105,356,4540,116
lut_comptime,INC_0.05,10,7199,41795,37393,122,374,4540,145
lut_comptime,INC_0.005,1,7188,44189,38447,128,716,4644,160
lut_comptime,INC_0.005,2,7210,43322,37426,183,626,4545,117
lut_comptime,INC_0.005,3,7213,43686,37713,99,658,4610,129
lut_comptime,INC_0.005,4,7195,41733,37426,113,583,4545,114
