label,setting,run_number,cold_real,cold_user,cold_sys,hot_real,hot_user,hot_sys
poly_dyn,N/A,1,3.09,2.61,0.40,0.25,0.20,0.03
poly_dyn,N/A,2,2.99,2.55,0.41,0.24,0.20,0.03
poly_dyn,N/A,3,2.99,2.58,0.38,0.24,0.20,0.03
poly_dyn,N/A,4,2.99,2.57,0.40,0.24,0.20,0.04
poly_dyn,N/A,5,2.98,2.57,0.39,0.24,0.20,0.03
poly_dyn,N/A,6,2.98,2.55,0.41,0.24,0.20,0.04
poly_dyn,N/A,7,2.98,2.58,0.38,0.24,0.20,0.04
poly_dyn,N/A,8,2.98,2.58,0.38,0.24,0.19,0.04
poly_dyn,N/A,9,2.98,2.58,0.38,0.24,0.20,0.03
poly_dyn,N/A,10,2.98,2.58,0.37,0.24,0.20,0.03
poly_stat,N/A,1,2.97,2.56,0.39,0.23,0.18,0.04
poly_stat,N/A,2,2.97,2.54,0.40,0.23,0.18,0.04
poly_stat,N/A,3,2.97,2.56,0.38,0.23,0.18,0.04
poly_stat,N/A,4,2.96,2.56,0.38,0.23,0.19,0.03
poly_stat,N/A,5,2.97,2.53,0.41,0.23,0.18,0.04
poly_stat,N/A,6,2.97,2.56,0.38,0.23,0.18,0.04
poly_stat,N/A,7,2.97,2.52,0.42,0.23,0.19,0.03
poly_stat,N/A,8,2.97,2.53,0.41,0.23,0.19,0.04
poly_stat,N/A,9,2.97,2.57,0.38,0.23,0.18,0.03
poly_stat,N/A,10,2.97,2.52,0.43,0.23,0.19,0.03
