label,setting,run_number,runtime_ns,cycles,instructions,cache-misses,cache-references,branches,branch-misses
calibration,N/A,1,24465,87285,98975,65,329,24224,219
calibration,N/A,2,24493,95512,106006,101,386,25883,248
calibration,N/A,3,24469,93965,106008,66,381,25884,244
calibration,N/A,4,24489,93173,106004,59,335,25882,225
calibration,N/A,5,24463,93796,106006,68,354,25883,229
calibration,N/A,6,24467,93468,106008,54,401,25884,233
calibration,N/A,7,24484,93275,106008,69,431,25884,239
calibration,N/A,8,24462,93557,106008,71,418,25884,243
calibration,N/A,9,24443,93151,106008,67,401,25884,251
calibration,N/A,10,24470,87344,97995,44,433,24052,235
calibration,N/A,11,24484,93290,106008,64,440,25884,240
calibration,N/A,12,24488,94852,107686,68,351,26121,277
calibration,N/A,13,24470,93438,106006,65,392,25883,256
calibration,N/A,14,24500,95080,104727,80,355,25747,277
calibration,N/A,15,26073,92855,106008,61,376,25884,240
image_pipeline_runtime,LOW_false_false_false,1,476000,1380625,4258766,23662,46481,68204,206
image_pipeline_runtime,LOW_false_false_false,2,460449,1328589,4256823,24161,47760,67980,202
image_pipeline_runtime,LOW_false_false_false,3,464215,1338530,4256816,24122,47876,67895,168
image_pipeline_runtime,LOW_false_false_false,4,445895,1293714,4255503,23522,47074,67669,171
image_pipeline_runtime,LOW_false_false_false,5,445636,1283323,4249838,23786,46424,66495,120
image_pipeline_runtime,LOW_false_false_false,6,446974,1286252,4250202,23666,46405,66549,128
image_pipeline_runtime,LOW_false_false_false,7,450945,1299605,4250062,23809,46867,66513,121
image_pipeline_runtime,LOW_false_false_false,8,456035,1310406,4249838,23545,46342,66495,114
image_pipeline_runtime,LOW_false_false_false,9,460507,1324888,4250022,23780,46585,66507,131
image_pipeline_runtime,LOW_false_false_false,10,432059,1241890,4249836,20111,46720,66494,124
image_pipeline_runtime,LOW_false_false_false,11,466694,1347561,4250062,24747,46721,66513,126
image_pipeline_runtime,LOW_false_false_false,12,462525,1342944,4249838,23764,46512,66495,122
image_pipeline_runtime,LOW_false_false_false,13,482100,1387516,4257591,24540,48023,68013,168
image_pipeline_runtime,LOW_false_false_false,14,450009,1298931,4249838,24321,46979,66495,117
image_pipeline_runtime,LOW_false_false_false,15,452641,1311468,4254628,24265,46547,67582,177
image_pipeline_runtime,MED_true_false_true,1,488512,1408070,4263534,20692,47412,69296,203
image_pipeline_runtime,MED_true_false_true,2,475841,1371026,4257795,25105,48049,68037,178
image_pipeline_runtime,MED_true_false_true,3,453613,1310354,4255287,24208,47112,67632,161
image_pipeline_runtime,MED_true_false_true,4,448260,1300117,4249838,21287,46447,66495,112
image_pipeline_runtime,MED_true_false_true,5,455445,1312097,4257601,22765,48003,68020,168
image_pipeline_runtime,MED_true_false_true,6,469932,1358679,4256947,25607,48303,67932,166
image_pipeline_runtime,MED_true_false_true,7,445438,1292406,4254412,23001,47033,67566,172
image_pipeline_runtime,MED_true_false_true,8,446280,1287063,4249836,24207,46425,66494,119
image_pipeline_runtime,MED_true_false_true,9,456290,1316861,4250062,22597,46663,66513,133
image_pipeline_runtime,MED_true_false_true,10,468033,1348616,4250062,23640,46558,66513,128
image_pipeline_runtime,MED_true_false_true,11,445776,1286493,4259941,22635,48215,68687,218
image_pipeline_runtime,MED_true_false_true,12,465201,1343258,4258018,26564,48177,68094,182
image_pipeline_runtime,MED_true_false_true,13,570195,1304546,4260559,20603,47815,68598,234
image_pipeline_runtime,MED_true_false_true,14,594147,1392778,4263663,22576,47224,69219,173
image_pipeline_runtime,MED_true_false_true,15,467421,1346976,4255848,22443,47572,67656,157
image_pipeline_runtime,HIGH_true_true_true,1,489896,1358013,4262139,20552,47643,68811,250
image_pipeline_runtime,HIGH_true_true_true,2,468136,1347323,4256853,24022,47496,67830,154
image_pipeline_runtime,HIGH_true_true_true,3,452885,1302567,4256828,23799,47406,67826,164
image_pipeline_runtime,HIGH_true_true_true,4,457107,1319070,4250062,25000,47317,66513,130
image_pipeline_runtime,HIGH_true_true_true,5,497299,1435573,4261050,24504,47363,68844,205
image_pipeline_runtime,HIGH_true_true_true,6,513363,1478091,4250202,24268,46629,66549,118
image_pipeline_runtime,HIGH_true_true_true,7,454363,1313531,4250062,24402,46428,66513,126
image_pipeline_runtime,HIGH_true_true_true,8,489026,1409335,4257753,25885,48189,68152,192
image_pipeline_runtime,HIGH_true_true_true,9,487828,1403779,4257660,24359,47719,68051,174
image_pipeline_runtime,HIGH_true_true_true,10,460583,1328287,4256578,24986,48463,67912,188
image_pipeline_runtime,HIGH_true_true_true,11,482694,1395437,4254628,24160,46344,67582,171
image_pipeline_runtime,HIGH_true_true_true,12,448031,1290950,4250062,24521,46532,66513,134
