label,setting,run_number,cold_real,cold_user,cold_sys,hot_real,hot_user,hot_sys
lut_runtime,INC_1,1,27.74,26.78,0.62,0.05,0.02,0.02
lut_runtime,INC_1,2,27.79,26.88,0.59,0.05,0.03,0.02
lut_runtime,INC_1,3,27.72,26.76,0.66,0.05,0.03,0.01
lut_runtime,INC_1,4,27.82,26.82,0.62,0.05,0.03,0.02
lut_runtime,INC_1,5,27.76,26.76,0.65,0.05,0.03,0.02
lut_runtime,INC_1,6,27.75,26.79,0.62,0.05,0.03,0.02
lut_runtime,INC_1,7,27.74,26.79,0.63,0.05,0.03,0.02
lut_runtime,INC_1,8,27.72,26.76,0.64,0.05,0.03,0.01
lut_runtime,INC_1,9,27.74,26.75,0.62,0.05,0.03,0.02
lut_runtime,INC_1,10,27.74,26.79,0.61,0.05,0.03,0.01
lut_comptime,INC_1,1,27.70,26.73,0.61,0.05,0.03,0.02
lut_comptime,INC_1,2,27.64,26.68,0.61,0.05,0.03,0.02
lut_comptime,INC_1,3,27.65,26.67,0.63,0.05,0.03,0.01
lut_comptime,INC_1,4,27.65,26.72,0.60,0.05,0.03,0.02
lut_comptime,INC_1,5,27.64,26.62,0.67,0.05,0.03,0.02
lut_comptime,INC_1,6,27.63,26.64,0.65,0.05,0.03,0.02
lut_comptime,INC_1,7,27.66,26.67,0.63,0.05,0.03,0.02
lut_comptime,INC_1,8,27.67,26.69,0.60,0.05,0.03,0.02
lut_comptime,INC_1,9,27.66,26.72,0.60,0.05,0.03,0.02
lut_comptime,INC_1,10,27.67,26.73,0.60,0.05,0.03,0.02
lut_comptime,INC_0.0005,1,46.98,44.76,1.27,0.09,0.04,0.04
lut_comptime,INC_0.0005,2,46.01,43.78,1.33,0.08,0.04,0.03
lut_comptime,INC_0.0005,3,46.82,44.73,1.30,0.06,0.03,0.02
lut_comptime,INC_0.0005,4,45.24,43.20,1.29,0.08,0.04,0.03
lut_comptime,INC_0.0005,5,45.37,43.31,1.31,0.08,0.05,0.03
lut_comptime,INC_0.0005,6,44.57,42.58,1.22,0.06,0.04,0.02
lut_comptime,INC_0.0005,7,47.28,45.05,1.32,0.07,0.03,0.03
lut_comptime,INC_0.0005,8,46.72,44.29,1.24,0.08,0.04,0.03
lut_comptime,INC_0.0005,9,45.31,43.09,1.33,0.09,0.05,0.04
lut_comptime,INC_0.0005,10,45.67,43.61,1.30,0.06,0.03,0.03
lut_comptime,INC_0.001,1,41.83,39.91,1.10,0.09,0.05,0.04
lut_comptime,INC_0.001,2,40.34,38.49,1.08,0.06,0.03,0.02
lut_comptime,INC_0.001,3,31.55,30.34,0.79,0.05,0.03,0.02
lut_comptime,INC_0.001,4,31.17,30.02,0.78,0.05,0.02,0.02
lut_comptime,INC_0.001,5,31.09,30.03,0.71,0.05,0.03,0.02
lut_comptime,INC_0.001,6,31.07,29.96,0.76,0.05,0.03,0.01
lut_comptime,INC_0.001,7,31.02,29.99,0.73,0.05,0.03,0.02
lut_comptime,INC_0.001,8,31.12,30.03,0.72,0.05,0.03,0.01
lut_comptime,INC_0.001,9,31.06,29.93,0.78,0.05,0.03,0.01
lut_comptime,INC_0.001,10,31.13,30.02,0.75,0.05,0.03,0.01
lut_comptime,INC_0.005,1,28.07,27.15,0.63,0.05,0.03,0.01
lut_comptime,INC_0.005,2,28.17,27.15,0.64,0.05,0.03,0.02
lut_comptime,INC_0.005,3,28.13,27.17,0.64,0.05,0.03,0.02
lut_comptime,INC_0.005,4,28.11,27.15,0.64,0.05,0.02,0.02
lut_comptime,INC_0.005,5,28.20,27.15,0.66,0.05,0.03,0.02
lut_comptime,INC_0.005,6,28.19,27.16,0.65,0.05,0.03,0.02
lut_comptime,INC_0.005,7,28.13,27.11,0.66,0.05,0.03,0.02
lut_comptime,INC_0.005,8,28.18,27.15,0.66,0.05,0.03,0.02
lut_comptime,INC_0.005,9,28.15,27.13,0.66,0.05,0.03,0.02
lut_comptime,INC_0.005,10,28.12,27.10,0.66,0.05,0.03,0.02
