label,setting,run_number,runtime_ns,cycles,instructions,cache-misses,cache-references,branches,branch-misses
lut_runtime,INC_1,1,109808261,306559218,643406162,1962,11013,69380868,3747365
lut_runtime,INC_1,2,109769450,306627630,643374806,956,7105,69373355,3762305
lut_runtime,INC_1,3,109831499,306734942,643431175,1516,10334,69385763,3756000
lut_runtime,INC_1,4,109774821,306640916,643414547,1663,10339,69380757,3758986
lut_runtime,INC_1,5,109757340,306595608,643372126,922,6372,69372829,3759058
lut_runtime,INC_1,6,109820826,306728293,643381851,990,7705,69375119,3759569
lut_runtime,INC_1,7,109839344,306491249,643480378,1932,12231,69395806,3748627
lut_runtime,INC_1,8,109859237,306718173,643408189,1266,8985,69380427,3752496
lut_runtime,INC_1,9,109892131,306587082,643468886,3061,14682,69393274,3743307
lut_runtime,INC_1,10,109899354,306720504,643478046,1754,11019,69395420,3751228
lut_comptime,INC_1,1,7430945,20183880,11964948,881,3082,643188,587
lut_comptime,INC_1,2,7232551,20198058,11953485,569,1881,640569,494
lut_comptime,INC_1,3,7232555,20249764,11953016,617,2275,640574,501
lut_comptime,INC_1,4,7219183,20241203,11955642,1014,3562,641179,468
lut_comptime,INC_1,5,7226837,20318527,11941958,717,1996,638483,445
lut_comptime,INC_1,6,7206852,20313774,11958755,1290,3337,641806,552
lut_comptime,INC_1,7,7219747,20142371,11950713,518,1954,640016,440
lut_comptime,INC_1,8,7259613,20261719,11944930,719,1822,639115,513
lut_comptime,INC_1,9,7305886,20243871,11961919,1275,4087,642555,709
lut_comptime,INC_1,10,7232036,20243471,11961912,995,3409,642591,589
lut_comptime,INC_0.0005,1,10075687,28313101,16971615,53204,4752137,644502,702
lut_comptime,INC_0.0005,2,10937435,30625819,16977062,47957,4687192,645182,564
lut_comptime,INC_0.0005,3,10156068,28421967,16971090,36338,4688359,643946,525
lut_comptime,INC_0.0005,4,10450991,28250936,16987901,38403,4696361,647744,707
lut_comptime,INC_0.0005,5,10121288,28360115,16981707,39596,4693972,646467,790
lut_comptime,INC_0.0005,6,10525495,29403938,16971514,38754,4682241,643951,532
lut_comptime,INC_0.0005,7,11333823,31623234,16985598,51066,4691407,646787,550
lut_comptime,INC_0.0005,8,10954450,30580872,16977835,46895,4689357,645333,532
lut_comptime,INC_0.0005,9,11299336,31697348,16985521,51365,4690858,647119,675
lut_comptime,INC_0.0005,10,10240712,28271211,16987649,40631,4696043,647551,632
lut_comptime,INC_0.001,1,7838034,21949640,16956701,8853,3801892,641464,552
lut_comptime,INC_0.001,2,7590749,21200002,16987760,27999,3792109,647724,667
lut_comptime,INC_0.001,3,7542456,21061590,16951003,36103,3768714,640158,545
lut_comptime,INC_0.001,4,7559473,21160859,16953106,29593,3786220,640575,559
lut_comptime,INC_0.001,5,7556131,21098455,16955384,43975,3777107,640988,513
lut_comptime,INC_0.001,6,7543468,21064750,16950701,39933,3762744,640070,465
lut_comptime,INC_0.001,7,7555319,21145615,16949469,32573,3786448,639998,508
lut_comptime,INC_0.001,8,7577418,21157464,16956905,25322,3804888,641380,524
lut_comptime,INC_0.001,9,7554657,21097141,16958274,30064,3774594,641540,542
lut_comptime,INC_0.001,10,7568250,21142357,16949788,27798,3789705,639886,499
lut_comptime,INC_0.005,1,7270078,20346822,16944557,524,170767,638833,487
lut_comptime,INC_0.005,2,7210328,20134515,16950654,414,317409,640082,510
lut_comptime,INC_0.005,3,7261817,20277106,16957236,1042,95684,641361,479
lut_comptime,INC_0.005,4,7248412,20285701,16948674,1697,34344,639826,545
lut_comptime,INC_0.005,5,7396194,20653142,16979213,1496,125522,645854,540
lut_comptime,INC_0.005,6,7225467,20176796,16949015,718,105245,639755,496
lut_comptime,INC_0.005,7,7314871,20426406,16956338,1041,26175,641253,472
lut_comptime,INC_0.005,8,7229683,20193362,16978231,1146,198932,645647,581
lut_comptime,INC_0.005,9,7275684,20318483,16957392,1001,157217,641439,467
lut_comptime,INC_0.005,10,7227822,20197742,16956036,400,109098,641160,468
lut_comptime,INC_0.01,1,7205369,20125825,16970930,617,3416,643972,618
lut_comptime,INC_0.01,2,7199951,20121468,16959280,537,3385,641884,492
lut_comptime,INC_0.01,3,7221498,20177708,16963018,907,3747,642649,555
lut_comptime,INC_0.01,4,7207200,20143409,16958966,653,3420,641814,505
lut_comptime,INC_0.01,5,7202233,20151959,16960854,536,3975,642241,546
lut_comptime,INC_0.01,6,7210261,20149738,16990404,838,4211,648239,571
lut_comptime,INC_0.01,7,7224492,20187693,16987327,720,4221,647758,555
lut_comptime,INC_0.01,8,7201212,20174701,16960674,494,3378,642224,544
lut_comptime,INC_0.01,9,7215507,20150568,16959341,558,3492,641949,533
lut_comptime,INC_0.01,10,7222056,20128739,16969395,573,3503,644143,616
lut_comptime,INC_0.05,1,7197800,20101424,16953622,378,2198,641018,518
lut_comptime,INC_0.05,2,7224363,20125105,16963259,542,2538,642953,507
lut_comptime,INC_0.05,3,7199455,20100630,16950553,474,2193,640078,519
lut_comptime,INC_0.05,4,7198732,20107134,16950252,556,2447,640043,545
lut_comptime,INC_0.05,5,7184092,20104767,16947666,563,2579,639431,496
lut_comptime,INC_0.05,6,7201922,20110453,16951860,332,2217,640281,479
lut_comptime,INC_0.05,7,7208557,20132838,16980263,850,2965,646410,576
lut_comptime,INC_0.05,8,7204616,20125622,16958407,666,2801,641675,580
lut_comptime,INC_0.05,9,7196000,20101221,16948778,532,2332,639736,510
lut_comptime,INC_0.05,10,7221396,20116536,16951876,540,2894,640386,496
lut_comptime,INC_0.1,1,7211403,20390716,16966666,1312,3743,643538,545
lut_comptime,INC_0.1,2,7282808,20252184,16982156,1109,3727,646901,604
lut_comptime,INC_0.1,3,7214740,20254244,16963016,1138,3233,642676,553
lut_comptime,INC_0.1,4,7195568,20188081,16957869,1084,2828,641722,504
lut_comptime,INC_0.1,5,7376883,20382123,16971532,1281,3434,644474,606
lut_comptime,INC_0.1,6,7214225,20156515,16959977,1181,2764,641971,504
lut_comptime,INC_0.1,7,7274094,20331593,16978119,1385,4406,646049,700
lut_comptime,INC_0.1,8,7211059,20210447,16960245,1118,2901,642059,485
lut_comptime,INC_0.1,9,7237525,20333538,16960867,1308,3664,642345,562
lut_comptime,INC_0.1,10,8298225,20634802,17002813,2632,9056,651573,927
lut_comptime,INC_0.5,1,9003529,20752780,22066012,3795,11788,665876,788
lut_comptime,INC_0.5,2,7235265,20271539,21944171,1148,2964,639121,508
lut_comptime,INC_0.5,3,7248389,20320961,21947703,1353,3598,639619,586
lut_comptime,INC_0.5,4,7219795,20215450,21952852,953,2886,640553,558
lut_comptime,INC_0.5,5,7207156,20215682,21944369,892,2781,638873,512
lut_comptime,INC_0.5,6,7283039,20282777,21959280,1324,4057,641934,637
lut_comptime,INC_0.5,7,7230397,20309512,21956210,1062,3267,641180,545
lut_comptime,INC_0.5,8,7208466,20193470,21955813,956,3315,641132,524
lut_comptime,INC_0.5,9,7242041,20312445,21971080,1353,4312,644586,717
lut_comptime,INC_0.5,10,7218900,20258531,21953380,1055,3308,640747,530
lut_comptime,INC_1,1,7199257,20124991,11956906,396,2332,641586,734
lut_comptime,INC_1,2,7185011,20112131,11949275,571,2408,639813,508
lut_comptime,INC_1,3,7208938,20135578,11954542,515,2743,640802,513
lut_comptime,INC_1,4,7199032,20101142,11951957,419,2134,640314,476
lut_comptime,INC_1,5,7203218,20166135,11972415,1018,3508,644785,547
lut_comptime,INC_1,6,7226828,20121222,11956424,487,2869,641272,626
lut_comptime,INC_1,7,7190006,20132168,11961907,577,2677,642470,561
lut_comptime,INC_1,8,7224518,20153141,11963963,704,3044,642960,617
lut_comptime,INC_1,9,7197387,20103429,11951642,498,2420,640264,532
lut_comptime,INC_1,10,7217514,20108038,11954678,389,2524,641025,510
lut_comptime,INC_5,1,7177179,20085998,16943375,462,2062,638591,489
lut_comptime,INC_5,2,7183255,20105440,16955523,490,2368,641158,558
lut_comptime,INC_5,3,7182942,20107605,16947677,638,2736,639489,483
lut_comptime,INC_5,4,7199240,20103319,16952117,388,2400,640397,536
lut_comptime,INC_5,5,7207181,20130026,16974003,685,3029,644979,515
lut_comptime,INC_5,6,7197005,20100753,16950474,567,2144,639993,499
lut_comptime,INC_5,7,7196914,20097340,16949392,430,2155,639808,488
